"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"グレタ・トゥーンベリ","グレタ・トゥーンベリ","今につながる時代","戦後から現代の世界","人権と未来を考える人","グレタ・トゥーンベリは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"マザー・テレサ","マザー・テレサ","今につながる時代","戦後から現代の世界","人権と未来を考える人","マザー・テレサは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"ダニエル・エルズバーグ","ダニエル・エルズバーグ","今につながる時代","戦後から現代の世界","人権と未来を考える人","ダニエル・エルズバーグは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"スティーブ・ジョブズ","スティーブ・ジョブズ","今につながる時代","戦後から現代の世界","人権と未来を考える人","スティーブ・ジョブズは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"ビル・ゲイツ","ビル・ゲイツ","今につながる時代","戦後から現代の世界","人権と未来を考える人","ビル・ゲイツは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"ティム・バーナーズ＝リー","ティム・バーナーズ＝リー","今につながる時代","戦後から現代の世界","人権と未来を考える人","ティム・バーナーズ＝リーは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"リーナス・トーバルズ","リーナス・トーバルズ","今につながる時代","戦後から現代の世界","人権と未来を考える人","リーナス・トーバルズは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"セルゲイ・ブリン","セルゲイ・ブリン","今につながる時代","戦後から現代の世界","人権と未来を考える人","セルゲイ・ブリンは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"ラリー・ペイジ","ラリー・ペイジ","今につながる時代","戦後から現代の世界","人権と未来を考える人","ラリー・ペイジは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"マーク・ザッカーバーグ","マーク・ザッカーバーグ","今につながる時代","戦後から現代の世界","人権と未来を考える人","マーク・ザッカーバーグは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"イーロン・マスク","イーロン・マスク","今につながる時代","戦後から現代の世界","人権と未来を考える人","イーロン・マスクは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"キャサリン・ジョンソン","キャサリン・ジョンソン","今につながる時代","戦後から現代の世界","人権と未来を考える人","キャサリン・ジョンソンは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"メイ・ジェミソン","メイ・ジェミソン","今につながる時代","戦後から現代の世界","人権と未来を考える人","メイ・ジェミソンは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"サリー・ライド","サリー・ライド","今につながる時代","戦後から現代の世界","人権と未来を考える人","サリー・ライドは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"ワレンチナ・テレシコワ","ワレンチナ・テレシコワ","今につながる時代","戦後から現代の世界","人権と未来を考える人","ワレンチナ・テレシコワは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
"ユーリイ・ガガーリン","ユーリイ・ガガーリン","今につながる時代","戦後から現代の世界","人権と未来を考える人","ユーリイ・ガガーリンは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
